Data,Open,High,Low,Price
2022-01-09,802.1,814.17,765.69,777.39
2022-01-10,777.39,806.05,773.09,789.93
2022-01-11,789.93,858.86,798.74,847.33
2022-01-12,847.33,853.33,811.47,816.7
2022-01-13,816.7,841.91,810.69,814.3
2022-01-14,814.93,828.6,812.24,824.14
2022-01-15,824.14,847.19,822.13,825.31
2022-01-16,828.05,808.95,773.46,779.34
2022-01-17,779.34,797.01,768.74,791.54
2022-01-18,791.54,769.59,739.31,743.21
2022-01-19,743.21,740.6,695.51,700.2
2022-01-20,700.2,661.48,598.12,618.64
2022-01-21,618.64,600.48,500.79,522.9
2022-01-22,522.05,578.07,545.09,550.98
2022-01-23,550.67,560.4,495.64,509.69
2022-01-24,509.69,544.93,496.23,522.11
2022-01-25,522.11,538.82,500.15,507.44
2022-01-26,507.44,517.06,485.42,489.88
2022-01-27,489.88,511.7,489.83,495.14
2022-01-28,494.84,539.26,503.73,521.64
2022-01-29,521.64,524.39,505.86,506.99
2022-01-30,507.22,538.38,497.7,531.81
2022-01-31,531.86,598.31,547.94,583.94
2022-02-01,583.94,589.17,522.22,541.02
2022-02-02,541.02,548.74,520.43,543.14
2022-02-03,543.32,623.7,596.79,602.57
2022-02-04,602.57,633.54,594.15,611.73
2022-02-05,611.73,632.81,614.16,618.94
2022-02-06,618.94,650.37,618.71,623.83
2022-02-07,623.83,630.35,595.54,600.68
2022-02-08,600.68,616.17,592.56,601.68
2022-02-09,601.68,592.64,556.13,560.72
2022-02-10,560.72,554.3,507.4,510.76
2022-02-11,510.68,518.82,496.27,507.7
2022-02-12,507.7,503.34,488.9,491.79
2022-02-13,492.77,511.33,488.1,505.52
2022-02-14,505.52,545.84,522.75,545.37
2022-02-15,545.37,536.22,513.33,526.02
2022-02-16,526.02,493.17,479.84,489.15
2022-02-17,489.15,487.25,466.53,467.15
2022-02-18,466.64,475.29,461.82,473.71
2022-02-19,473.71,479.15,442.17,470.31
2022-02-20,470.47,465.96,428.71,429.09
2022-02-21,429.09,446.85,432.81,441.39
2022-02-22,441.39,448.81,425.46,428.1
2022-02-23,428.1,482.95,433.35,459.83
2022-02-24,459.83,491.08,461.74,481.71
2022-02-25,481.71,483.15,467.5,468.92
2022-02-26,468.92,456.41,437.56,445.41
2022-02-27,445.41,532.54,500.03,514.5
2022-02-28,514.5,531.51,503.16,507.51
2022-03-01,507.51,540.33,495.07,515.79
2022-03-02,515.79,498.79,478.16,484.18
2022-03-03,484.18,454.07,439.27,451.87
2022-03-04,451.87,463.45,448.74,458.21
2022-03-05,458.21,447.16,431.43,432.42
2022-03-06,432.42,431.75,418.65,420.61
2022-03-07,420.61,431.82,418.56,419.95
2022-03-08,419.95,455.23,435.16,444.24
2022-03-09,444.24,424.67,412.71,419.69
2022-03-10,419.69,419.98,409.33,410.71
2022-03-11,410.71,416.5,409.78,414.32
2022-03-12,414.32,408.3,394.22,402.12
2022-03-13,402.12,425.59,413.01,415.85
2022-03-14,415.85,437.71,413.25,425.98
2022-03-15,425.98,447.05,429.08,446.42
2022-03-16,446.42,460.27,440.0,443.72
2022-03-17,443.72,467.98,441.43,452.81
2022-03-18,452.81,480.53,457.29,466.46
2022-03-19,466.46,456.33,446.95,447.58
2022-03-20,447.58,449.44,435.96,441.27
2022-03-21,441.27,460.41,445.74,447.21
2022-03-22,447.21,470.8,443.69,461.41
2022-03-23,461.41,503.16,466.31,495.49
2022-03-24,495.49,503.71,465.15,471.5
2022-03-25,471.5,496.85,471.5,487.05
2022-03-26,487.05,513.77,496.36,510.2
2022-03-27,510.2,538.41,507.24,507.47
2022-03-28,507.47,549.17,510.5,535.52
2022-03-29,535.52,599.04,517.76,580.48
2022-03-30,580.48,604.49,556.15,587.5
2022-03-31,587.5,650.12,579.75,632.91
2022-04-01,632.91,658.17,620.01,622.81
2022-04-02,622.81,662.29,624.54,643.53
2022-04-03,643.53,646.18,602.07,613.32
2022-04-04,613.32,619.71,589.2,594.75
2022-04-05,594.75,574.76,534.08,537.58
2022-04-06,537.58,571.42,540.18,568.3
2022-04-07,568.3,562.11,514.98,521.4
2022-04-08,521.4,539.1,520.63,536.05
2022-04-09,536.05,536.35,516.96,526.56
2022-04-10,526.56,494.76,465.91,472.28
2022-04-11,472.28,510.16,472.16,486.72
2022-04-12,486.72,507.23,491.29,495.95
2022-04-13,495.95,491.9,472.03,477.52
2022-04-14,477.52,489.86,478.71,480.63
2022-04-15,480.48,492.03,482.16,483.9
2022-04-16,483.9,486.96,472.06,475.75
2022-04-17,475.66,487.38,466.93,478.97
2022-04-18,478.97,511.32,484.8,510.15
2022-04-19,510.15,508.03,489.54,491.66
2022-04-20,491.66,487.12,470.51,474.47
2022-04-21,474.47,491.84,477.47,484.94
2022-04-22,484.94,491.18,477.27,486.22
2022-04-23,486.22,490.35,478.72,479.29
2022-04-24,479.29,497.88,487.39,494.32
2022-04-25,494.32,487.19,471.1,481.45
2022-04-26,481.45,500.91,489.56,490.93
2022-04-27,490.93,501.14,484.93,488.29
2022-04-28,488.29,477.5,466.12,469.78
2022-04-29,469.63,458.92,412.66,425.25
2022-04-30,425.25,464.83,437.96,448.85
2022-05-01,448.95,458.15,435.67,443.88
2022-05-02,443.88,433.88,425.03,428.42
2022-05-03,428.42,458.16,436.24,457.19
2022-05-04,457.19,442.98,414.85,427.81
2022-05-05,427.81,425.7,412.45,417.05
2022-05-06,417.34,413.13,401.79,403.81
2022-05-07,404.09,397.32,381.27,386.15
2022-05-08,386.15,353.91,323.17,323.95
2022-05-09,323.95,368.33,325.91,346.32
2022-05-10,346.32,329.68,227.47,263.2
2022-05-11,263.2,274.46,210.73,231.32
2022-05-12,231.32,270.91,227.45,249.56
2022-05-13,249.56,279.12,246.67,267.9
2022-05-14,267.47,301.49,269.73,299.74
